"","A","N"
"Asian race",10.6666666666667,10.6666666666667
"Asian race & Middle Eastern race",1.33333333333333,1.33333333333333
"Asian race & Unknown racial group",1.33333333333333,1.33333333333333
"Caucasian",66.6666666666667,66.6666666666667
"Caucasian & Asian race",1.33333333333333,1.33333333333333
"Caucasian & Hispanic",2.66666666666667,2.66666666666667
"Caucasian & Indian (subcontinent) race",1.33333333333333,1.33333333333333
"Hispanic",5.33333333333333,5.33333333333333
"Hispanic & African race",1.33333333333333,1.33333333333333
"Indian (subcontinent) race",1.33333333333333,1.33333333333333
"Indian race",2.66666666666667,2.66666666666667
"Unknown racial group",4,4
