,fold1,fold2,fold3,fold4,fold5,fold6,fold7,means
fruit,21.1611566488834,15.6034844315149,18.0386870948234,17.6695358465081,19.5657619415261,12.9112074108826,31.9658452763713,19.5593826643585
probiotic,7.49257669455099,15.1053687360722,15.0484588262138,15.3801180158042,11.3106265620568,8.95608654274927,23.5043546600146,13.8282271482088
dietary_supplement,12.4079336015453,7.62830324818585,13.0924143424533,9.05322352012401,15.0318900377051,10.0679816779988,7.19928212783071,10.640146936549
vegetable,9.65732046254769,16.6946024854322,8.66450226228501,8.87042221981861,8.66402260153519,6.14253574817148,3.14057665125318,8.83342606157762
GI_issues_this_week,3.76338042504039,8.0526041455777,9.50338601609841,9.18299689443408,8.20034597216814,10.2129591140947,10.0040674186036,8.41710571228815
vitamin_B,13.380350419194,12.2619971981648,7.87171564135134,5.74166005021269,6.98373117055623,2.91651903263195,6.58794904297459,7.96341750786937
dairy,5.59166369383741,6.92517122014039,8.77619400831108,8.79126395100021,7.80580749207071,4.62229638171575,6.58193341987276,7.01347573813547
father_age,4.23176980840269,6.82705218238663,6.48401087891861,5.86699183344991,6.09421474923158,6.67453766717277,5.69264979165332,5.98160384445936
dairy_freq,5.17370283884889,5.38726316471017,4.63577374070939,6.41469140188349,4.98577848468901,5.82212947496019,7.76947555894317,5.74125923782061
whole_grain,3.73613731774869,5.10972112223865,5.081038382941,7.19990094756151,5.76498619440976,5.94335414393607,3.97511322581184,5.25860733352107
specific_food_allergy,7.15069790318433,2.76643753736698,5.31404714977834,3.90407122959782,6.42001562416185,4.09524923381633,5.2685317773037,4.98843577931562
mother_age,4.76834267377061,4.1684421221436,4.81788794612326,6.08498451900298,5.54740373087524,5.17615094317502,4.34561948639408,4.98697591735497
starchy_food,5.77226176675514,3.33485683537027,4.29635655993772,5.17004562479028,6.42444987538483,4.38275179762073,3.67255475690799,4.72189674525242
stool_freq,3.44764391744037,5.69049571656392,5.01465103339329,3.53863184053386,3.70161806515071,6.37432578039841,4.4372630467772,4.60066134289397
fruit_freq,5.52469720191517,3.13731198540271,4.82331575119225,4.40791515607178,3.33266202975517,4.00524260312247,5.65167946697247,4.411832027776
fermented_vegetables,3.27089974686579,2.79767130391453,4.93608668984495,5.04483574146169,4.26569942508689,4.37741877843164,5.97527700769815,4.38112695618623
sugary_food,4.44043057957078,3.13699248292507,3.58796679554504,4.26340208972414,4.98828664577389,5.46833283739935,4.32128178777707,4.31524188838791
sweetened_drink,4.23280780296815,3.63448698481879,5.20853340148109,3.33235291436768,4.89393700427533,3.78592370945827,4.09533654007899,4.16905405106404
vitamin_D,5.15546628752315,3.55506018844986,4.95866240032029,6.7871360020489,4.08423263875612,2.80322805252019,1.78249462640149,4.16089717086
vegetable_freq,3.9815190186635,2.94927387829053,5.95680743663736,5.06825660780107,3.3176129932907,4.0148147404323,1.90485204612308,3.88473381731979
meat,2.11625641538522,3.43894845013951,4.02681516862078,4.26292563125729,4.64390650187344,5.21679812864842,3.0823170623651,3.82685247975568
bread,2.86387738454923,4.75457269195904,3.73858493476943,3.85701597907314,3.95937305374444,4.72858101490926,2.86918814181024,3.82445617154497
dietary_restriction,4.16248881065568,4.73851579951117,2.04256419217572,3.38217626772779,2.68212508501143,4.78034270296575,3.18831088439555,3.56807482034901
olive_oil,3.33476885385488,1.97843504160722,4.4963174406139,3.55299144606881,4.33782478328144,3.16797295221297,3.20797157515033,3.43946887039851
meats_and_seafood,2.5467476196698,2.44237219969678,3.90041204578997,2.99713921639251,3.64507375793476,2.14325282894693,3.17786768061674,2.97898076414964
meal_ready_eat,2.91503196020472,2.18821454004102,2.7551626516668,3.8114273793495,2.54729125612786,2.66203699020475,2.95198041727782,2.83302074212464
nonceliac_sensitivity,4.46541464521871,2.09228378813046,2.35321617537463,2.80800735681985,4.16862906195193,1.67926468208357,1.48516859418919,2.72171204339548
lactose_intolerance,3.72845587437574,2.39890877186658,3.2436664937009,3.81772659370241,3.17708269982689,1.96320183266636,0.446165285700053,2.68217250740556
fat_oil_freq,1.87816165122453,2.45064508210351,2.87282813765952,3.10151554343392,2.82078275941357,2.5915380136241,2.24311542700524,2.56551237349491
seafood,2.59156475296391,2.40818768666143,2.42954544285215,2.34157187978988,3.00274027565015,3.0840782292956,1.90792730068932,2.53794508112892
env_tobacco,3.00737335559542,3.87805137971581,1.50107260774311,1.14619999313052,0.517748110115379,0.89547225537619,5.2998403080118,2.3208225728126
restaurant,2.31669346424818,1.55578256312516,2.16387940919393,2.16904348704376,2.0990417935867,2.15225148812345,2.05036779137881,2.07243714238571
infant_diet,2.22060405985812,1.29720614913444,2.11498653867909,1.96779075731076,2.52128643908427,2.27706804517733,1.80436053255176,2.0290432173994
meal_home_prep,2.04570665692949,1.20819317228876,1.85389350399646,2.4903882987627,1.95538169181195,3.4181651575305,0.992513243627641,1.9948916749925
prematurely_born,0.742256344902189,1.049807488954,1.18872094001968,0.328765796153301,1.83705191713852,1.3815459920024,0.955737519566286,1.06912657124805
multivitamin,0.92483754201672,0.352802080591078,1.34438087170112,1.49387352161169,0.833351525363498,1.51563737441896,0.51925549829911,0.997734059143167
csection,0.491209727420645,0.359704866044014,1.14693083297424,1.08530527955026,0.862349266457298,1.17985365701825,0.846144624051916,0.853071179073804
min_time_antibiotics,0.443354733638324,0.538910522258441,0.935990010994162,0.794093986080342,1.10782960185829,1.28387188138757,0.490390177758667,0.799205844853684
cat,0.423792533118258,0.601215291389243,0.574283558012537,0.668966023539544,0.410679121764174,0.986584925391089,1.12243496753253,0.683993774392482
gluten_allergy,1.00728470848198,0.554467541091925,0.763287569177087,0.579268155319434,0.808090917011573,0.752719300475624,0.282978773241862,0.678299566399926
dog,0.223562242769502,0.26234297319231,0.861830613437183,0.690903810415075,0.573650413831926,0.942156047834865,0.221600512216634,0.539435230528214
other_GI_symptoms,0.0848287581983234,0.330681750828127,0.917232973144413,0.576329673898162,0.240022482523006,0.38577410826843,0.980641918960859,0.502215952260189
recently_ill,0.332113910561062,0.471932297552631,0.418797011056697,0.425727842604749,0.383693636246408,0.615532085450509,0.458761362101505,0.443794020796223
diarrhea,0.206882266220415,0.198203716856061,0.294275572927422,0.249853425979691,0.420372058964498,0.219739117314333,0.1453455031981,0.247810237351503
constipation,0.0275093770158151,0.0142602495543672,0,0.0831317893498623,0,0.0680245770906831,0,0.0275608561443897
