"","Variable","FactorClass","TotalN","R2","pvalue","pvalue_adj"
"1","Number.of.pet.reptiles","numeric",432,0.0111513943301896,0.001,0.00335714285714286
"2","Outdoors.pet","categorical",366,0.0111442273326226,0.001,0.00335714285714286
"3","Non.celiac.gluten.sensitivity","categorical",432,0.01085709877782,0.001,0.00335714285714286
"4","Other.GI.symptoms..M3.","categorical",366,0.0101897812021166,0.001,0.00335714285714286
"5","Pets.in.home","categorical",432,0.00932610291995417,0.001,0.00335714285714286
"6","Fruit..consumption.frequency.","numeric",432,0.00878874091704359,0.001,0.00335714285714286
"7","Seafood..consumption.frequency.","numeric",429,0.00824784181135799,0.001,0.00335714285714286
"8","Toilet.trained","categorical",405,0.00821604998806899,0.002,0.00494736842105263
"9","Dairy..consumption.frequency...longitudinal.","numeric",279,0.00767698488432267,0.005,0.00979166666666667
"10","Lactose.intolerance","categorical",432,0.00762033392572891,0.001,0.00335714285714286
"11","Dietary.restrictions..M3.","categorical",432,0.00752173427532106,0.001,0.00335714285714286
"12","Vegetable..consumption.frequency...longitudinal.","numeric",405,0.00727150244966119,0.001,0.00335714285714286
"13","Dietary.supplement","categorical",366,0.00708326728280074,0.002,0.00494736842105263
"14","Multivitamin","categorical",432,0.00707487640319457,0.001,0.00335714285714286
"15","Childhood.behavioral.development.finding","numeric",432,0.00649112627634333,0.001,0.00335714285714286
"16","GI.symptoms.within.3.months..M3.","categorical",432,0.00612449326666678,0.001,0.00335714285714286
"17","Sleep.pattern.finding","numeric",432,0.00601796779043853,0.002,0.00494736842105263
"18","Sugary.food..consumption.frequency.","numeric",432,0.00591067700579758,0.003,0.0061304347826087
"19","Fermented.vegetable..consumption.frequency.","numeric",432,0.00576928195116264,0.002,0.00494736842105263
"20","GI.issues.this.week..M3.","categorical",432,0.00546776718256198,0.001,0.00335714285714286
"21","Vitamin.B.complex.supplement..consumption.frequency.","numeric",432,0.00538404248882001,0.002,0.00494736842105263
"22","Meats.and.seafood..consumption.frequency...longitudinal.","numeric",405,0.00498684232671624,0.011,0.0191481481481481
"23","Repetitive.motion","numeric",432,0.00454352645193254,0.012,0.0201428571428571
"24","GI.issues.two.weeks.ago..M3.","categorical",432,0.0044288017683369,0.015,0.0235
"25","Imitation.behavior","numeric",432,0.00436671200419753,0.006,0.01128
"26","Picks.up.objects.to.show.to.others","numeric",432,0.00431418179020349,0.01,0.0180769230769231
"27","Plays.in.a.group.with.others","numeric",432,0.00420390605313094,0.014,0.0226896551724138
"28","Gastrointestinal.problems..M3.","numeric",432,0.0039201305119062,0.021,0.0290294117647059
"29","Recent.anxiety..caretaker.reported.","numeric",432,0.00382399605779961,0.029,0.0378611111111111
"30","Language.ability.and.use","numeric",432,0.00381145294750083,0.027,0.0362571428571429
